Date,Open,High,Low,Close,Volumne
7/16/2010 2:12:00 PM,533.37,536.5,526.67,532,3058900
7/16/2010 2:10:00 PM,532.1,534.83,521.03,529.19,3406100
7/16/2010 2:08:00 PM,528.95,538.33,527.23,529.06,3844700
7/16/2010 2:06:00 PM,544.97,544.99,529.21,531.64,4368800
7/16/2010 2:04:00 PM,547.25,549.32,542.27,544.99,2089400
7/16/2010 2:02:00 PM,552,552.5,543.35,547.06,3280700
7/16/2010 2:00:00 PM,556.46,560.25,552.16,554.3,2391500
7/16/2010 1:58:00 PM,554.17,559.66,551.06,555.04,2977400
7/16/2010 1:56:00 PM,548.75,553.99,545,550.1,3894000
7/16/2010 1:54:00 PM,563,568.81,549.63,550.15,12235500
7/16/2010 1:52:00 PM,592.17,597.84,588.29,595.3,6761800
7/16/2010 1:50:00 PM,590.06,592.34,584.01,589,3402700
7/16/2010 1:48:00 PM,572.53,588.88,571.13,586.77,3912300
7/16/2010 1:46:00 PM,567.35,574,566.22,572.73,2352400
7/16/2010 1:44:00 PM,567.49,568.77,564,566.22,2056600
7/16/2010 1:42:00 PM,563.32,569.85,560.05,567.49,1947500
7/16/2010 1:40:00 PM,567.3,568.75,561.86,563.54,2581000
7/16/2010 1:38:00 PM,569.46,570.89,565.4,568.22,2060100
7/16/2010 1:36:00 PM,570.9,574.88,569,571.01,1901500
7/16/2010 1:34:00 PM,571.35,573.45,565.55,568.8,2102700
7/16/2010 1:32:00 PM,565.05,569.74,562.81,567.12,3030800
7/16/2010 1:30:00 PM,562.83,567.63,560.28,566.71,1977900
7/16/2010 1:28:00 PM,563,564.72,560.57,562.45,3104500
7/16/2010 1:26:00 PM,565.27,567.39,560.02,562.69,2696200
7/16/2010 1:24:00 PM,559.02,572,558.66,562.88,3930900
7/16/2010 1:22:00 PM,545.51,559.85,539.7,557.33,6565200
7/16/2010 1:20:00 PM,557.04,558.31,542,549,5501300
7/16/2010 1:18:00 PM,556.11,566.85,554.28,557.5,4004800
7/16/2010 1:16:00 PM,566.23,568,557.28,560,4792400
7/16/2010 1:14:00 PM,564.72,568.44,562.96,566.4,1777200
7/16/2010 1:12:00 PM,568.3,571.45,564.25,565.56,3321600
7/16/2010 1:10:00 PM,561.83,568.42,560.76,565.2,3431500
7/16/2010 1:08:00 PM,566.68,569.45,556,563.18,4653900
