Date,Open,High,Low,Close,Volume,Adj Close
5/4/2011,535.17,539,533.02,535.79,2117000,535.79
5/3/2011,537.13,542.01,529.63,533.89,2081500,533.89
5/2/2011,545.7,545.73,537.12,538.56,2133700,538.56
4/29/2011,540,544.1,538.51,544.1,4200000,544.1
4/28/2011,538.06,539.25,534.08,537.97,2037400,537.97
4/27/2011,538,538.11,534.35,537.76,2298400,537.76
4/26/2011,526.52,537.44,525.21,532.82,3535400,532.82
4/25/2011,525.25,527,522.01,525.05,1630800,525.05
4/21/2011,527.49,528.28,522.39,525.1,2470100,525.1
4/20/2011,525.9,526.82,521.39,525.73,3060000,525.73
4/19/2011,529.95,530.88,520.9,521.53,2684100,521.53
4/18/2011,526.42,527.66,519,526.84,5039800,526.84
4/15/2011,545.29,545.75,530.06,530.7,14043700,530.7
4/14/2011,575.19,579.45,572.1,578.51,5456300,578.51
4/13/2011,575.51,577.6,571.75,576.28,2069400,576.28
4/12/2011,575,576.91,568.05,570.61,2085600,570.61
4/11/2011,576.2,578.1,573,577.37,1858200,577.37
4/8/2011,584.89,584.89,578.06,578.16,1901800,578.16
4/7/2011,575.73,580.64,574.19,580,2531500,580
4/6/2011,572.18,575.16,568,574.18,2668300,574.18
4/5/2011,581.08,581.49,565.68,569.09,6047500,569.09
4/4/2011,593,594.74,583.1,587.68,2054500,587.68
4/1/2011,588.76,595.19,588.76,591.8,2613200,591.8
3/31/2011,583,588.16,581.74,586.76,2029400,586.76
3/30/2011,584.38,585.5,580.58,581.84,1422300,581.84
3/29/2011,576,581.89,573.01,581.73,1604800,581.73
3/28/2011,582.07,584.99,574.71,575.36,2218400,575.36
3/25/2011,586.88,586.91,579.24,579.74,2858400,579.74
3/24/2011,585.43,588.39,578.8,586.89,2098700,586.89
3/23/2011,575.19,582.45,572,582.16,1816200,582.16
3/22/2011,577.27,579.23,572.51,577.32,1886900,577.32
3/21/2011,570.22,579.8,569.02,576.5,3020900,576.5
3/18/2011,564.64,567.99,559.74,561.06,3298600,561.06
3/17/2011,564.48,569,560.54,561.36,2899300,561.36
3/16/2011,568.01,569.79,551.28,557.1,3798500,557.1
3/15/2011,557.5,571,555.5,569.56,4005600,569.56
3/14/2011,572.8,578.29,568.02,569.99,2816100,569.99
3/11/2011,578.22,580,573.33,576.71,3032000,576.71
3/10/2011,585.44,586.62,579.45,580.3,3128100,580.3
3/9/2011,591,594.51,585.75,591.77,2151000,591.77
3/8/2011,592.93,597.98,590.2,592.31,2284900,592.31
3/7/2011,600.55,603.69,587,591.66,3462700,591.66
3/4/2011,608.33,608.98,600.2,600.62,3011000,600.62
3/3/2011,606.38,611.49,605,609.56,1945300,609.56
3/2/2011,599.8,606,595.19,600.79,2026700,600.79
3/1/2011,617.78,619.22,599.3,600.76,3323200,600.76
2/28/2011,610,616.49,608.01,613.4,2281500,613.4
2/25/2011,611.86,614.72,609.5,610.04,1932400,610.04
2/24/2011,611.39,613.09,601.35,608.82,2711700,608.82
2/23/2011,610.33,614.7,604,611.32,2889600,611.32
2/22/2011,620.03,624.93,607.77,610.21,3639900,610.21
2/18/2011,626,631.18,624.18,630.08,3217900,630.08
2/17/2011,621.25,627.25,620.28,625.26,1478800,625.26
2/16/2011,625.63,626.5,622.1,624.22,1684000,624.22
2/15/2011,627.32,630.09,623.1,624.15,2092000,624.15
2/14/2011,623.34,629.64,620.04,628.15,2128000,628.15
2/11/2011,613.79,625,613,624.5,2589900,624.5
2/10/2011,613.9,617.5,611.56,616.44,2334400,616.44
2/9/2011,616.87,619.45,612.34,616.5,1842500,616.5
2/8/2011,614.93,619.63,614.51,618.38,1694900,618.38
2/7/2011,610.16,618.39,609.21,614.29,1799600,614.29
2/4/2011,610.15,611.44,606.61,610.98,1550800,610.98
2/3/2011,609.48,611.45,606.13,610.15,1495100,610.15
2/2/2011,611,614.34,607.53,612,1760700,612
2/1/2011,604.49,613.35,603.11,611.04,2745300,611.04
1/31/2011,603.6,604.47,595.55,600.36,2804900,600.36
1/28/2011,619.07,620.36,599.76,600.99,4231100,600.99
1/27/2011,617.89,619.7,613.25,616.79,2019200,616.79
1/26/2011,620.33,622.49,615.28,616.5,2038100,616.5
1/25/2011,608.2,620.69,606.52,619.91,3646800,619.91
1/24/2011,607.57,612.49,601.23,611.08,4599200,611.08
1/21/2011,639.58,641.73,611.36,611.83,8904400,611.83
1/20/2011,632.21,634.08,623.29,626.77,5485800,626.77
1/19/2011,642.12,642.96,629.66,631.75,3406100,631.75
1/18/2011,626.06,641.99,625.27,639.63,3617000,639.63
1/14/2011,617.4,624.27,617.08,624.18,2365600,624.18
1/13/2011,616.97,619.67,614.16,616.69,1334000,616.69
1/12/2011,619.35,619.35,614.77,616.87,1632700,616.87
1/11/2011,617.71,618.8,614.5,616.01,1439300,616.01
1/10/2011,614.8,615.39,608.56,614.21,1579200,614.21
1/7/2011,615.91,618.25,610.13,616.44,2101200,616.44
1/6/2011,610.68,618.43,610.05,613.5,2057800,613.5
1/5/2011,600.07,610.33,600.05,609.07,2532300,609.07
1/4/2011,605.62,606.18,600.12,602.12,1824500,602.12
1/3/2011,596.48,605.59,596.48,604.35,2365200,604.35
12/31/2010,596.74,598.42,592.03,593.97,1539300,593.97
12/30/2010,598,601.33,597.39,598.86,989500,598.86
12/29/2010,602,602.41,598.92,601,1019200,601
12/28/2010,602.05,603.87,598.01,598.92,1064800,598.92
12/27/2010,602.74,603.78,599.5,602.38,1208100,602.38
12/23/2010,605.34,606,602.03,604.23,1110800,604.23
12/22/2010,604,607,603.28,605.49,1207500,605.49
12/21/2010,598.57,604.72,597.61,603.07,1879500,603.07
12/20/2010,594.65,597.88,588.66,595.06,1973300,595.06
12/17/2010,591,592.56,587.67,590.8,3087100,590.8
12/16/2010,592.85,593.77,588.07,591.71,1596900,591.71
12/15/2010,594.2,596.45,589.15,590.3,2167700,590.3
12/14/2010,597.09,598.29,592.48,594.91,1643300,594.91
12/13/2010,597.12,603,594.09,594.62,2398500,594.62
12/10/2010,593.14,593.99,590.29,592.21,1704700,592.21
12/9/2010,593.88,595.58,589,591.5,1868900,591.5
12/8/2010,591.97,592.52,583.69,590.54,1756900,590.54
12/7/2010,591.27,593,586,587.14,3042200,587.14
12/6/2010,580.57,582,576.61,578.36,2093800,578.36
12/3/2010,569.45,576.48,568,573,2631200,573
12/2/2010,568.66,573.33,565.35,571.82,2547900,571.82
12/1/2010,563,571.57,562.4,564.35,3754100,564.35
11/30/2010,574.32,574.32,553.31,555.71,7117400,555.71
11/29/2010,589.17,589.8,579.95,582.11,2859700,582.11
11/26/2010,590.46,592.98,587,590,1311100,590
11/24/2010,587.31,596.6,587.05,594.97,2396400,594.97
11/23/2010,587.01,589.01,578.2,583.01,2162600,583.01
11/22/2010,587.47,593.44,582.75,591.22,2186600,591.22
11/19/2010,597,597.89,590.34,590.83,2297500,590.83
11/18/2010,589,599.98,588.56,596.56,2590000,596.56
11/17/2010,585,589.5,581.37,583.55,2442500,583.55
11/16/2010,592.76,597.89,583.45,583.72,3307400,583.72
11/15/2010,603.08,604,594.05,595.47,3478900,595.47
11/12/2010,613.99,616.9,601.21,603.29,3393000,603.29
11/11/2010,619.7,619.85,614.21,617.19,2261600,617.19
11/10/2010,622.08,623,617.51,622.88,2497000,622.88
11/9/2010,630,630.85,620.51,624.82,2237200,624.82
11/8/2010,624.02,629.49,623.13,626.77,2101300,626.77
11/5/2010,623.18,625.49,621.11,625.08,1765700,625.08
11/4/2010,624.64,629.92,622.1,624.27,3570800,624.27
11/3/2010,617.5,621.83,613.5,620.18,3380500,620.18
11/2/2010,618.67,620,614.58,615.6,1997600,615.6
11/1/2010,615.73,620.66,611.21,615,3087100,615
10/29/2010,617.07,619,612.99,613.7,2278300,613.7
10/28/2010,620.05,621,613.3,618.58,2184300,618.58
10/27/2010,615.77,620,612.33,616.47,2241900,616.47
10/26/2010,613.1,621.23,611.03,618.6,2512900,618.6
10/25/2010,615.59,624.74,614.97,616.5,3158400,616.5
10/22/2010,611.92,614.82,610.05,612.53,2256100,612.53
10/21/2010,611.51,616,606,611.99,2920500,611.99
10/20/2010,608.14,617.38,607.5,607.98,3525100,607.98
10/19/2010,608.85,614.82,602.86,607.83,4587900,607.83
10/18/2010,600.55,619.69,600.55,617.71,7098200,617.71
10/15/2010,599.27,601.64,591.6,601.45,14824800,601.45
10/14/2010,544.18,545.25,537.11,540.93,6634100,540.93
10/13/2010,547,547.49,542.33,543.3,3055600,543.3
10/12/2010,540.12,545.99,537.79,541.39,3753600,541.39
10/11/2010,538.48,544.6,537.17,538.84,2626300,538.84
10/8/2010,532.77,537.6,527.62,536.35,2859200,536.35
10/7/2010,536.21,537.2,529.14,530.01,2395800,530.01
10/6/2010,539.26,539.95,529.94,534.35,2762300,534.35
10/5/2010,528.38,540,526.55,538.23,3507100,538.23
10/4/2010,524.95,528.25,518.85,522.35,1940500,522.35
10/1/2010,530,530.62,523,525.62,2225000,525.62
9/30/2010,529.16,531.87,518.92,525.79,3244100,525.79
9/29/2010,527.85,532.94,524.71,527.69,2172200,527.69
9/28/2010,533.48,533.59,518.45,527.17,3654700,527.17
9/27/2010,528.85,536.85,528.85,530.41,3107400,530.41
9/24/2010,521.74,527.83,518.26,527.29,3356900,527.29
9/23/2010,514.61,519.69,511.3,513.48,2317400,513.48
9/22/2010,512.86,517.78,511.68,516,2537100,516
9/21/2010,509.68,519.98,508.91,513.46,4466300,513.46
9/20/2010,492.5,510.41,492.06,508.28,4403500,508.28
9/17/2010,483.75,491.2,481.18,490.15,5641600,490.15
