Date,Open,High,Low,Close,Volume 
10/31/2007 12:00:00 AM,26.04,26.98,25.16,26.9,1.566069E+09
11/30/2007 12:00:00 AM,26.7,27.54,24.32,26.08,1.368208E+09
12/31/2007 12:00:00 AM,26.03,27.99,25.38,26.66,9.434006E+08
1/31/2008 12:00:00 AM,26.28,26.34,18.05,21.1,2.468793E+09
2/29/2008 12:00:00 AM,21.4,21.82,19.5,19.97,1.461604E+09
3/31/2008 12:00:00 AM,20.06,22.45,19.44,21.18,1.356334E+09
4/30/2008 12:00:00 AM,21.51,23.02,20.5,22.26,1.28125E+09
5/31/2008 12:00:00 AM,22.36,25.29,22.36,23.18,1.143614E+09
6/30/2008 12:00:00 AM,23.05,24,21.22,21.48,1.136648E+09
7/31/2008 12:00:00 AM,21.29,22.62,19.71,22.19,1.379848E+09
8/31/2008 12:00:00 AM,22.42,24.75,21.98,22.87,1.085512E+09
9/30/2008 12:00:00 AM,23.27,23.48,17.27,18.73,1.623615E+09
10/31/2008 12:00:00 AM,18.5,18.69,13.37,16.03,2.341314E+09
11/30/2008 12:00:00 AM,16.13,16.39,12.06,13.8,1.536437E+09
12/31/2008 12:00:00 AM,13.46,15.68,12.38,14.66,1.330884E+09
1/31/2009 12:00:00 AM,14.69,15.51,12.5,12.9,1.273573E+09
2/28/2009 12:00:00 AM,12.82,15.15,12.05,12.74,1.328147E+09
3/31/2009 12:00:00 AM,12.51,15.89,12.07,15.03,1.63288E+09
4/30/2009 12:00:00 AM,14.77,16.39,14.62,15.78,1.504235E+09
5/31/2009 12:00:00 AM,15.76,16.74,15,15.72,1.338598E+09
6/30/2009 12:00:00 AM,16.03,16.7,15.61,16.55,1.303974E+09
7/31/2009 12:00:00 AM,16.67,19.8,15.78,19.25,1.725683E+09
8/31/2009 12:00:00 AM,19.48,20.65,18.41,20.32,1.109063E+09
9/30/2009 12:00:00 AM,20.22,20.58,19.22,19.57,1.065088E+09
10/31/2009 12:00:00 AM,19.49,21.27,18.74,19.11,1.702936E+09
11/30/2009 12:00:00 AM,19.05,20.5,18.31,19.2,1.183878E+09
12/31/2009 12:00:00 AM,19.46,20.72,19,20.4,1.037864E+09
1/31/2010 12:00:00 AM,20.79,21.55,19.3,19.4,1.50884E+09
2/28/2010 12:00:00 AM,19.47,20.97,18.95,20.53,1.123538E+09
3/31/2010 12:00:00 AM,20.68,22.75,20.26,22.29,1.290301E+09
4/30/2010 12:00:00 AM,22.4,24.37,22.16,22.84,1.54965E+09
5/31/2010 12:00:00 AM,22.98,23.44,19.9,21.42,1.830147E+09
6/30/2010 12:00:00 AM,21.3,22,19.4,19.45,1.363596E+09
7/31/2010 12:00:00 AM,19.4,22.28,18.96,20.6,1.606689E+09
8/31/2010 12:00:00 AM,20.93,21.28,17.6,17.67,1.737349E+09
9/30/2010 12:00:00 AM,17.96,19.62,17.75,19.2,1.347073E+09
10/31/2010 12:00:00 AM,19.44,20.56,18.77,20.05,1.397265E+09
11/30/2010 12:00:00 AM,20.36,21.81,20.22,21.16,1.126931E+09
12/31/2010 12:00:00 AM,21.45,22.07,20.65,21.03,9.211085E+08
1/31/2011 12:00:00 AM,21.02,21.94,20.27,21.22,1.449064E+09
2/28/2011 12:00:00 AM,21.48,22.21,21.01,21.47,1.002492E+09
3/31/2011 12:00:00 AM,21.64,22.08,19.71,20.18,1.330666E+09
4/30/2011 12:00:00 AM,20.37,23.19,19.36,23.15,1.446536E+09
5/31/2011 12:00:00 AM,23.04,23.96,22.11,22.51,1.583175E+09
6/30/2011 12:00:00 AM,22.47,22.48,21,22.16,1.183625E+09
7/31/2011 12:00:00 AM,22.21,23.39,22.08,22.33,9.449992E+08
8/31/2011 12:00:00 AM,22.6,22.69,19.16,20.13,1.553887E+09
9/30/2011 12:00:00 AM,20.28,22.98,19.16,21.33,1.336105E+09
10/31/2011 12:00:00 AM,21.23,25.2,20.4,24.54,1.523255E+09
11/30/2011 12:00:00 AM,24.09,25.5,22.51,24.91,1.136971E+09
12/31/2011 12:00:00 AM,24.93,25.78,23.05,24.25,9.875271E+08
1/31/2012 12:00:00 AM,24.6,27,24.39,26.42,1.119739E+09
2/29/2012 12:00:00 AM,26.79,27.5,26.35,26.88,7.8292E+08
3/31/2012 12:00:00 AM,27.06,28.45,26.2,28.11,7.264093E+08
4/30/2012 12:00:00 AM,28,28.78,27.24,28.4,7.477195E+08
5/31/2012 12:00:00 AM,28.47,29.27,24.92,25.84,8.723385E+08
6/30/2012 12:00:00 AM,25.47,27.75,24.84,26.65,7.870188E+08
7/31/2012 12:00:00 AM,26.51,26.86,24.68,25.7,7.676816E+08
8/31/2012 12:00:00 AM,25.87,26.9,24.15,24.83,7.536537E+08
9/30/2012 12:00:00 AM,25,25.1,22.48,22.66,9.3314E+08
10/23/2012 12:00:00 AM,22.75,23.17,21.22,21.59,8.699971E+08
